"4:00-10:00
(360s)","Z1b. 冰原 - 追逐
(Linear + Flashback)","P1-D. 追逐
(Pursuit)",7,"在追击中生存
同时拯救过去","[双线] 当前：玩家在冰原探索。 过去：鸣钟者正在被'大静默'吞噬。
[当前] 静滞浮雷x2（可清理/绕过）。
[过去] 幻影鸣钟者正在逃跑，玩家可以'影响'过去（通过声波）。
[交集] 用涟漪射击特定位置 → 过去鸣钟者获得生存机会。","[星核：涟漪]
(声波弹)
在冰原中段
拾取（当前）
或
帮助过去鸣钟者
（过去）","【验证：双线操作】
1. 当前：清理浮雷或绕过
2. 过去：观察鸣钟者逃跑路线
3. 在交叉点用声波 → 改变过去
4. 过去改变 → 当前获得奖励","[双线解谜] 当前+过去联动。
[奖励] 拯救过去鸣钟者 → 获得稀有补给。
[叙事] '我们不只是旅行者，我们还是见证者。'
[机制] 声波=连接时空的桥梁。"
"10:00-16:00
(360s)","Z1c. 记忆宫殿
(Puzzle Zone)","P1-D. 拼图
(Puzzle)",5,"解开双线谜题
获取武器","[双线] 当前：需要打开星图仓，但钥匙在过去。 过去：鸣钟者持有钥匙，但被怪物包围。
[解谜] 玩家需要在当前和过去之间切换。
[过去] 帮助过去的鸣钟者击败怪物 → 获得钥匙 → 传递到当前。","[星核：实弹]
(机枪)
通过时间传递
获得武器","【验证：双线协作】
1. 当前：找到锁的位置
2. 过去：找到钥匙
3. 引导过去的鸣钟者 → 击败怪物
4. 钥匙传递 → 当前开门","[双线谜题] 钥匙在过去，锁在当前。
[奖励] 完整解谜 = 实弹武器。
[教学] 双线操作基础。
[叙事] '时间是条河流，我们可以逆流。'"
"16:00-22:00
(360s)","Z2a. 叹息峡谷
(Linear -> Dual)","P1-D. 残响
(Reverberation)",4,"进入峡谷
了解大静默","[双线] 当前：安静的峡谷。 过去：峡谷曾经的辉煌演奏。
[当前] 无威胁，只有风景。
[过去] 幻影乐团在演奏（无声的华丽画面）。
[发现] 两者交汇处有隐藏Lore。","[无]
(纯叙事)","【验证：观察+收集】
1. 当前探索峡谷
2. 观察过去幻影
3. 在交汇点收集Lore
4. 了解大静默如何发生","[POI] 冰晶管风琴（当前+过去）。
[收集] 幻影乐团演奏 → 收集5个音符。
[叙事] N-05触发：'看那些管风琴……曾经是个辉煌的乐队。'
[节奏] 放松+收集。"
"22:00-30:00
(480s)","Z2b. 峡谷深处
(Choke + Combat)","P1-D. 对位
(Counterpoint)",6,"首次战斗
双线协作","[双线] 当前：圣歌守卫。 过去：同样的圣歌守卫（幻影）。
[当前] 圣歌守卫x1（真实敌人）。
[过去] 幻影圣歌守卫x1（可攻击，影响当前）。
[机制] 攻击过去的幻影 → 当前敌人也会受伤。","[战术复习]
(实弹+涟漪)","【验证：双线战斗】
1. 当前战斗圣歌守卫
2. 发现可以攻击过去的幻影
3. 联合攻击 → 更快击杀
4. 学习双线战斗机制","[双线战斗] 当前+幻影联合攻击。
[教学] 幻影可被攻击，影响现实。
[叙事] '过去的回声可以成为武器。'
[出口] 峡谷出口。"
"30:00-38:00
(480s)","Z3a. 回音枢纽外围
(Hub + Memory)","P1-D. 回响
(Resonance)",5,"探索枢纽
拼凑真相","[双线] 当前：回音枢纽。 过去：枢纽的最后一场演出。
[当前] 开放式区域。
[过去] 幻影乐团+指挥家。
[发现] 指挥家有隐藏信息。","[辅助：穿透]
(声波自带特性)
知识锁","【验证：完整拼图】
1. 收集散落的音符（当前+过去）
2. 找到指挥家幻影
3. 组合音符 → 触发隐藏信息
4. 了解大静默的真正原因","[完整拼图] 收集8个音符。
[真相] 大静默不是自然灾害，是鸣钟者自己的选择。
[POI] 中央枢纽。
[节奏] 探索+叙事高潮。"
"38:00-48:00
(600s)","Z3b. 枢纽核心
(Hub Core)","P1-D. 抉择
(Choice)",8,"面对沉默之钟
做出选择","[双线] 当前：沉默之钟（BOSS预演）。 过去：鸣钟者准备启动大静默。
[选择] A.阻止过去（帮助鸣钟者取消大静默）B.旁观过去（大静默发生）
[结果] 不同选择影响结局走向。","[光帆：相位]
(无敌冲刺)
根据选择
获得不同奖励","【验证：选择+后果】
1. 理解双线因果
2. 做出价值选择
3. 承担选择后果
4. 获得不同结局","[核心选择] 大静默是否发生。
[分支] 两条路线获得不同能力。
[结局] 选择后的第一幕结束。
[悬念] '你的选择将被铭记。'"
"48:00-60:00
(720s)","Z4入口 / 返回枢纽
(End)","P1-D. 余音
(Aftermath)",4,"第一幕终结
双线收尾","[双线] 根据之前选择，当前和过去呈现不同状态。
[结局动画] 选择后的世界变化。
[总结] 收集的音符组成完整乐章。","[视选择获取]
(不同分支)","【验证：选择验证】
1. 回顾选择的后果
2. 体验不同世界
3. 第一幕收尾","[结局A] 大静默未发生 → 世界更明亮。
[结局B] 大静默已发生 → 世界更安静。
[总结] 完整乐章播放 → 成就感。
[悬念] '下一章，我们将……'"
方案四心流曲线：,4→7→5→4→6→5→8→4,,,,,,,
"方案四·心流曲线图示：",,,,,,,,
" 0:00  ████░░░░░░ 4/10  (双线开场)",,,,,,,,
" 4:00  ███████░░░ 7/10  (双线追逐)",,,,,,,,
"10:00  █████░░░░░ 5/10  (双线谜题)",,,,,,,,
"16:00  ████░░░░░░ 4/10  (记忆宫殿)",,,,,,,,
"22:00  ██████░░░░ 6/10  (双线战斗)",,,,,,,,
"30:00  █████░░░░░ 5/10  (真相拼凑)",,,,,,,,
"38:00  ████████░░ 8/10  (核心抉择)",,,,,,,,
"48:00  ████░░░░░░ 4/10  (结局收尾)",,,,,,,,
"方案四特点：创新双线叙事机制，将时间回响玩法与战斗解谜深度结合。叙事驱动力极强。",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案五：生存极限型 — Survival Instinct】",,,,,,,,
"设计理念：资源管理为核心，玩家必须极度谨慎地管理弹药、生命值和热量。适合硬核生存爱好者。",,,,,,,,
"参考游戏：《Resident Evil》资源管理 + 《Dark Souls》惩罚性战斗 + 《FTL》 roguelike压力",,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-3:00
(180s)","Z1a. 坠机点
(Cinematic Survival)","P1-E. 坠毁
(Crash)",5,"紧急逃生
资源稀缺","[限制] 开局只有10发子弹，1个急救包。
[威胁] 坠机点有3只碎晶爬行者正在苏醒。
[目标] 必须在有限资源下逃生。","[基础移动]
(冲刺/跳跃/二段跳)
开局自带","【验证：资源意识】
1. 3只敌人，只有10发子弹
2. 必须精准射击（每只3-4发）
3. 或完全避开（潜行）
4. 任何浪费都会影响后续","[稀缺] 10发子弹，1急救包。
[选择] 战斗vs潜行。
[叙事] N-01触发：伊恩惊慌失措。
[目标] 存活并离开坠机点。"
"3:00-8:00
(300s)","Z1b. 冰原
(Survival Corridor)","P1-E. 匮乏
(Scarcity)",7,"寻找补给
极度谨慎","[限制] 补给极少，每只敌人都是资源来源。
[威胁] 静滞浮雷x2 + 碎晶爬行者x3。
[目标] 必须精确计算每发子弹的价值。","[星核：实弹]
(机枪)
从击杀的爬行者
随机掉落（低概率）","【验证：极限生存】
1. 击杀爬行者 → 可能掉落弹药（50%概率）
2. 浮雷击杀 → 必定掉落1个急救包
3. 精准击杀 → 资源可持续
4. 盲目开火 → 很快弹尽粮绝","[资源管理] 击杀=资源来源。
[挑战] 每一发子弹都要精打细算。
[限制] 敌人难度不变，但容错率极低。
[奖励] 成功生存 = 额外补给箱。"
"8:00-14:00
(360s)","Z1c. 补给危机
( resource Crisis)","P1-E. 危机
(Desperation)",9,"弹尽粮绝
绝境求生","[限制] 弹药即将耗尽（<5发），生命值不健康（<50%）。
[威胁] 前方有大量敌人（5只碎晶爬行者+2只浮雷）。
[绝境] 必须做出选择：A.强行突破 B.寻找隐藏路径","[星核：涟漪]
(声波弹)
在隐藏路径的
宝箱中获得","【验证：绝境决策】
1. 评估自身状态
2. 选择突破或潜行
3. 隐藏路径有陷阱（虚假宝箱）
4. 正确选择 → 获得大量补给","[绝境] 弹药<5发，HP<50%。
[选择] 冒险战斗vs谨慎潜行。
[陷阱] 虚假宝箱（暴露位置）。
[奖励] 正确选择 → 涟漪+大量补给。"
"14:00-20:00
(360s)","Z2a. 喘息
(Safe Haven)",2,"短暂休息
资源整理","[环境] 安全的小型避难所。
[恢复] 可以使用急救包恢复生命。
[限制] 仍有弹药压力。","[资源整理]
(恢复+整理)","【验证：资源规划】
1. 合理使用急救包
2. 整理剩余弹药
3. 规划后续策略
4. 准备迎接下一阶段","[POI] 临时安全屋。
[恢复] 生命值回复机会。
[叙事] 短暂喘息。
[节奏] 张力最低点。"
"20:00-28:00
(480s)","Z2b. 峡谷
(Hostile Env)","P1-E. 步步为营
(Deliberate)",6,"缓慢推进
每一步都有风险","[限制] 地形狭窄，无法快速移动。
[威胁] 圣歌守卫x1（需要大量弹药击杀）。
[策略] 必须引诱到特定位置才能有效攻击。","[战术规划]
(声波穿墙)","【验证：战术思考】
1. 圣歌守卫正面无敌
2. 需要声波穿墙（但玩家可能没有涟漪）
3. 诱敌深入 → 绕背攻击
4. 或使用声波（如果之前获得）","[战术] 圣歌守卫需要特定战术。
[限制] 没有声波 = 高难度战斗。
[奖励] 击杀后获得高级弹药。
[出口] 峡谷出口。"
"28:00-36:00
(480s)","Z3a. 回音枢纽外围
(Hub Survival)","P1-E. 消耗
(Attrition)",7,"进入枢纽
面对更多敌人","[限制] 敌人密度上升。
[威胁] 混合兵种：浮雷+爬行者+守卫。
[目标] 保持资源平衡。","[辅助：穿透]
(声波特性)
知识锁：
若之前未获得涟漪
此处无新获取","【验证：持续管理】
1. 敌人组合需要不同策略
2. 浮雷用精确射击
3. 爬行者用持续火力
4. 守卫用声波或绕背","[混合战斗] 不同敌人需要不同战术。
[限制] 资源持续消耗。
[节奏] 压力逐步上升。"
"36:00-45:00
(540s)","Z3b. 枢纽核心
(Hub Core)","P1-E. 最终储备
(Last Stand)",8,"面对红线阵
最终资源检查","[限制] 红线阵前有大量敌人把守。
[机制] 必须使用光帆相位冲刺。
[目标] 检查资源，准备冲刺。","[光帆：相位]
(无敌冲刺)
在敌人掉落中
随机获得","【验证：最终准备】
1. 清理敌人获取光帆
2. 资源达到最低点
3. 最后冲刺的机会
4. 失败则需要重试","[储备] 最后一次资源获取机会。
[挑战] 红线阵（需要光帆）。
[紧张] 资源耗尽前的最后战斗。"
"45:00-55:00
(600s)","Z4入口. 深渊边缘
(Climax)","P1-E. 深渊
(The Abyss)",9,"穿越红线阵
进入深渊","[限制] 红线阵需要光帆+精准时机。
[威胁] 敌人追兵在后方逼近。
[目标] 最后一搏。","[最终冲刺]
(光帆+所有剩余资源)","【验证：综合应用】
1. 观察红线规律
2. 使用光帆冲刺
3. 边退边打
4. 极限穿越","[高潮] 最后冲刺段。
[挑战] 红线阵+追兵。
[成功] 穿越后进入安全区。
[成就感] 极限生存成功。"
"55:00-60:00
(300s)","Z4. 孵化深渊入口
(End)","P1-E. 生存
(Survivor)",4,"第一幕终结
生存者总结","[结局] 成功存活到第一幕结束。
[总结] 资源管理成果展示。
[叙事] 伊恩：'我们活下来了……'","[成就感]
(生存验证)","【验证：生存验证】
1. 回顾资源使用
2. 评估效率
3. 第一幕收尾","[成就] '极限生存者'（若弹药使用<50%）。
[结局] 第一幕结束。
[叙事] '但下面会更难。'
[悬念] 深渊之下有什么？"
方案五心流曲线：,5→7→9→2→6→7→8→9→4,,,,,,,
"方案五·心流曲线图示：",,,,,,,,
" 0:00  █████░░░░░ 5/10  (紧急逃生)",,,,,,,,
" 3:00  ███████░░░ 7/10  (资源匮乏)",,,,,,,,
" 8:00  █████████░ 9/10  (弹尽粮绝)",,,,,,,,
"14:00  ██░░░░░░░░ 2/10  (短暂喘息)",,,,,,,,
"20:00  ██████░░░░ 6/10  (步步为营)",,,,,,,,
"28:00  ███████░░░ 7/10  (消耗战)",,,,,,,,
"36:00  ████████░░ 8/10  (最终储备)",,,,,,,,
"45:00  █████████░ 9/10  (深渊冲刺)",,,,,,,,
"55:00  ████░░░░░░ 4/10  (生存总结)",,,,,,,,
"方案五特点：锯齿形张力曲线，大开大合。强调资源管理，每一刻都在做生死抉择。适合硬核玩家。",,,,,,,,
,,,,,,,,,
,,,,,,,,,
========== 五方案对比总结 ========== ,,,,,,,,,
对比维度,方案一：钟摆型,方案二：探索发现型,方案三：叙事沉浸型,方案四：双线叙事型,方案五：生存极限型
开场张力,8/10,2/10,1/10,4/10,5/10
60分钟结束张力,6/10,5/10,5/10,4/10,4/10
心流曲线形状,倒U→W型,渐升型,波浪型,双峰型,锯齿型
核心驱动力,生存压力,探索发现,叙事沉浸,时间谜题,资源管理
适合玩家,硬核动作,银河恶魔城,叙事爱好者,解谜爱好者,生存专家
首次战斗时机,~3:00,~25:00,~25:00,~22:00,~0:00
教学风格,压力教学,探索教学,叙事教学,机制教学,实践教学
独特机制,倒计时+追兵,分支选择+隐藏,声音=色彩,双线时间,资源稀缺
最大风险,新手劝退,节奏过慢,剧情跳过,理解成本,过于硬核
推荐混合,方案一压力+方案二自由+方案三叙事+方案四机制+方案五深度,,,,,,
,,,,,,,,,
"【推荐：混合方案思路】",,,,,,,,
"取方案三的叙事开场(0-5min) + 方案一的压力触发(5-15min) + 方案二的分支选择(15-25min) + 方案四的双线机制(25-45min) + 方案五的最终挑战(45-60min)",,,,,,,,
"理由：完整覆盖0-60分钟，每10分钟一种核心体验，节奏丰富多变，满足不同玩家偏好。",,,,,,,,
"心流曲线：1→8→6→4→7→8→5，形成'叙事-压力-选择-解谜-挑战'的完整弧线。",,,,,,,,
,,,,,,,,,
